Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
6862,1,1.25,4.48,36.12,ND,1.4379,1.4261,1.78,0.3094,0.0284,0.0105,0.0183,2.1289,ND,0.0019,0.0020,0.0024,0.0009,0.0007,0.0065,0.0180,0.0012,0.0178,0.0014,ND,ND,ND,ND,ND,ND,0,0,ND,0,ND,50.95
6862,1,1.86,4.77,34.93,ND,1.4891,1.5174,1.81,0.3466,0.0255,0.0070,0.0203,2.7053,ND,0.0032,0.0027,0.0025,0.0011,0.0009,0.0073,0.0183,0.0015,0.0180,0.0015,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,50.46
6863,1,1.80,5.43,32.88,ND,1.2082,1.8509,1.84,0.3728,0.0338,0.0261,0.0198,2.9404,ND,0.0060,0.0048,0.0128,0.0010,0.0017,0.0087,0.0194,0.0019,0.0212,0.0019,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,51.52
6863,1,1.92,4.67,18.77,1.6656,1.0242,1.2923,18.85,0.3161,0.0693,0.0314,0.0339,2.7653,ND,0.0059,0.0038,0.0046,0.0012,0.0016,0.0071,0.0808,0.0145,0.0128,0.0014,0,ND,ND,ND,ND,0,0,0,ND,0.0020,0,48.45
6864,1,1.62,6.20,33.41,ND,1.1232,2.1479,1.27,0.3732,0.0448,0.0223,0.0210,2.8925,ND,0.0041,0.0035,0.0039,0.0009,0.0014,0.0102,0.0195,0.0012,0.0196,0.0019,0,ND,ND,ND,ND,ND,ND,0,ND,0,0,50.81
6864,1,1.80,5.30,34.87,0.1474,1.4608,1.7383,1.55,0.3275,0.0256,0.0162,0.0217,2.7322,ND,0.0026,0.0027,0.0027,0.0014,0.0012,0.0078,0.0176,0.0014,0.0199,0.0017,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,49.95
6865,1,2.14,5.51,31.68,ND,2.2472,1.8161,2.36,0.3625,0.0441,0.0263,0.0223,3.8483,ND,0.0069,0.0045,0.0054,0.0017,0.0022,0.0085,0.0174,0.0017,0.0173,0.0018,0,ND,ND,ND,ND,ND,0,0,0,ND,ND,49.87
6865,1,2.07,6.92,32.72,ND,1.4116,2.4021,0.43,0.4312,0.0467,0.0227,0.0185,3.6556,ND,0.0065,0.0046,0.0121,0.0014,0.0018,0.0113,0.0156,0.0015,0.0234,0.0023,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,49.78
6866,1,2.00,4.86,34.73,ND,1.5259,1.6479,1.95,0.3287,0.0481,0.0202,0.0162,2.9207,ND,0.0063,0.0036,0.0081,0.0015,0.0023,0.0080,0.0185,0.0013,0.0164,0.0016,0,ND,ND,ND,ND,ND,ND,0,ND,0.0010,ND,49.89
6866,1,1.86,5.74,24.88,2.2493,2.3671,2.0522,3.84,0.3880,0.0485,0.0424,0.0238,4.1762,ND,0.0089,0.0045,0.0105,0.0024,0.0026,0.0110,0.0175,0.0021,0.0201,0.0023,0,ND,ND,ND,ND,ND,0,0,ND,0,0,52.25
6867,1,1.94,5.99,32.93,ND,1.2420,1.9929,1.79,0.4081,0.0417,0.0244,0.0196,3.1218,ND,0.0060,0.0036,0.0062,0.0010,0.0018,0.0094,0.0190,0.0025,0.0221,0.0022,0,ND,ND,ND,ND,ND,0,0,ND,ND,ND,50.42
6867,1,1.66,5.11,34.67,ND,1.2377,1.6941,1.59,0.3473,0.0365,0.0150,0.0198,2.7137,ND,0.0046,0.0027,0.0043,0.0011,0.0012,0.0082,0.0175,0.0017,0.0175,0.0022,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.85
6868,1,1.60,2.15,11.86,ND,0.7003,0.3503,30.31,0.1819,0.0303,0.0107,0.1585,1.9201,ND,ND,0.0016,0.0021,0.0007,0.0007,0.0023,0.0408,0.0023,0.0091,0.0009,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.67
6868,1,1.66,4.69,35.06,ND,1.2702,1.5891,2.06,0.3385,0.0360,0.0164,0.0211,2.7209,ND,0.0054,0.0032,0.0033,0.0013,0.0015,0.0077,0.0197,0.0012,0.0187,0.0019,0.0010,ND,ND,ND,ND,ND,ND,0,ND,0,ND,50.47
